,title,desc,link,date,year,month,day,datenoyear,placeQID,placename
0," 28.03.22  - Bergamo, due militanti di CasaPound hanno picchiato un uomo senegalese"," 28.03.22  - Bergamo, due militanti di CasaPound hanno picchiato un uomo senegalese
Secondo le testimonianze di chi ha assistito al pestaggio, uno degli esponenti di CasaPound teneva fermo l’aggredito, mentre l’altro lo picchiava.",/antifa/article/6708/bergamo-due-militanti-di-casapound-hanno-picchiato-un-uomo-senegalese,2022-03-28,2022,3,28,03-28,Q628,Bergamo
1," 12.03.22  - Ragazzo ferito da militanti neofascisti, al Mamiani striscione e raduno di un centinaio di studenti"," 12.03.22  - Ragazzo ferito da militanti neofascisti, al Mamiani striscione e raduno di un centinaio di studenti
Il ragazzo ferito, un 17enne del Mamiani, sarebbe stato medicato al pronto soccorso dove gli sono stati dati nove giorni di prognosi. A scatenare la rissa un volantinaggio davanti scuola",/antifa/article/6700/ragazzo-ferito-da-militanti-neofascisti-al-mamiani-striscione-e-raduno-di-un-centinaio-di-studenti,2022-03-12,2022,3,12,03-12,-,Roma
2,9.03.22  - A gennaio aggredito un 17enne in via Mazzini: oggi perquisizioni per 23 militanti di CasaPound," 9.03.22  - A gennaio aggredito un 17enne in via Mazzini: oggi perquisizioni per 23 militanti di CasaPound
Il 22 gennaio, in pieno centro a Verona, un 17enne è stato aggredito da un gruppo di giovani ricondotti dalla Digos a CasaPound e Blocco Studentesco. Questa mattina sono scattate le perquisizioni per 23 di loro.",/antifa/article/6697/a-gennaio-aggredito-un-17enne-in-via-mazzini-oggi-perquisizioni-per-23-militanti-di-casapound,2022-03-09,2022,3,9,03-09,-,Verona
3,21.01.22  - Salgono a 6 i poliziotti feriti durante lo sgombero dei locali dell'Inps occupati dal circolo Futurista di Casapound," 21.01.22  - Salgono a 6 i poliziotti feriti durante lo sgombero dei locali dell'Inps occupati dal circolo Futurista di Casapound
Roma: scontri e sei poliziotti feriti nel corso delle operazioni di sgombero dei locali occupati dal circolo Futurista di Casapound, nel quartiere Casalbertone – Portonaccio. – RASSEGNA STAMPA – ",/antifa/article/6666/salgono-a-6-i-poliziotti-feriti-durante-lo-sgombero-dei-locali-dellinps-occupati-dal-circolo-futurista-di-casapound,2022-01-21,2022,1,21,01-21,-,Roma
4,30.11.21  - Accoltella un minore a una festa di Halloween: in casa aveva stemmi nazisti e di Casapound," 30.11.21  - Accoltella un minore a una festa di Halloween: in casa aveva stemmi nazisti e di Casapound
Il ragazzo, dalle dichiarazioni dei testimoni presenti ai fatti, risultava avesse tentato di accoltellare il minore anche al collo, non riuscendovi per pura fortuna
",/antifa/article/6621/accoltella-un-minore-a-una-festa-di-halloween-in-casa-aveva-stemmi-nazisti-e-di-casapound,2021-11-30,2021,11,30,11-30,-,Casalfiumanese
5," 10.10.21  - Roma, in 30 assaltano l’ospedale Umberto I: “Volevano liberare un manifestante in stato di fermo che aveva rifiutato il tampone”"," 10.10.21  - Roma, in 30 assaltano l’ospedale Umberto I: “Volevano liberare un manifestante in stato di fermo che aveva rifiutato il tampone”
Oltre alla distruzione dei locali, quattro persone sono rimaste ferite, due poliziotti e due del personale sanitario. Un’infermiera è stata colpita alla testa da una bottiglia. ",/antifa/article/6583/roma-in-30-assaltano-lospedale-umberto-i-volevano-liberare-un-manifestante-in-stato-di-fermo-che-aveva-rifiutato-il-tampone,2021-10-10,2021,10,10,10-10,Q220,Roma
6,9.10.21  - I fascisti hanno assaltato la sede nazionale del sindacato Cgil e nessuno li ha fermati," 9.10.21  - I fascisti hanno assaltato la sede nazionale del sindacato Cgil e nessuno li ha fermati
Il sindacato: “Abbiamo resistito allora, resisteremo ora e ancora. A tutti ricordiamo che organizzazioni che si richiamano al fascismo vanno sciolte”.",/antifa/article/6580/i-fascisti-hanno-assaltato-la-sede-nazionale-del-sindacato-cgil-e-nessuno-li-ha-fermati,2021-10-09,2021,10,9,10-09,Q1125068,Cgil
7," 2.10.21  - Afragola, aggredita la deputata M5s Iolanda Di Stasio. Squarciato pneumatico dell'auto di Francesco Zanfardino, segretario del Pd."," 2.10.21  - Afragola, aggredita la deputata M5s Iolanda Di Stasio. Squarciato pneumatico dell'auto di Francesco Zanfardino, segretario del Pd.
Denunciata ai carabinieri anche un’aggressione contro il responsabile dell’area a nord di Napoli di Europa Verde, Salvatore Iavarone. 
Luigi Di Maio cita un terzo caso, vittima Matteo Vocale a San Nicola Garganico",/antifa/article/6578/afragola-aggredita-la-deputata-m5s-iolanda-di-stasio-squarciato-pneumatico-dellauto-di-francesco-zanfardino-segretario-del-pd,2021-10-02,2021,10,2,10-02,-,Afragola
8," 2.10.21  - Elezioni, violenza neofascista a Nardò: botte e insulti omofobici ai candidati 5 Stelle e Pd. Casili (M5S): ""Il sindaco Mellone incita all'odio"""," 2.10.21  - Elezioni, violenza neofascista a Nardò: botte e insulti omofobici ai candidati 5 Stelle e Pd. Casili (M5S): ""Il sindaco Mellone incita all'odio""
Un dito fratturato e problemi all’udito per Tiziano De Pirro (M5s), offese omofobiche a una ragazza in lista con il Pd e a un cittadino da persone vicine agli ambienti di CasaPound. Le aggessioni al termine del comizio del candidato, e primo cittadino in carica, Mellone",/antifa/article/6577/elezioni-violenza-neofascista-a-nard-botte-e-insulti-omofobici-ai-candidati-5-stelle-e-pd-casili-m5s-il-sindaco-mellone-incita-allodio,2021-10-02,2021,10,2,10-02,-,Nardò
9,9.09.21  - Aggressione razzista in metro: afgano pestato da un fascista a Ponte Mammolo," 9.09.21  - Aggressione razzista in metro: afgano pestato da un fascista a Ponte Mammolo
L’aggressore ha rivendicato il gesto sottolineando agli agenti il proprio credo politico, mostrando una croce celtica tatuata sulla mano
L’aggressione razzista avvenuta all’ingresso della metro Ponte Mammolo",/antifa/article/6642/aggressione-razzista-in-metro-afgano-pestato-da-un-fascista-a-ponte-mammolo,2021-09-09,2021,9,9,09-09,Q1227426,Ponte Mammolo
10,30.08.21  - Giornalista Rai aggredita a Roma da no vax di estrema destra," 30.08.21  - Giornalista Rai aggredita a Roma da no vax di estrema destra
«Ero vicino casa, in bicicletta. Non ero neanche di servizio. È stato l’istinto, mi sono avvicinata al corteo in viale Mazzini, no vax, capitanati da Forza Nuova, ragazzi e ragazze con addosso magliette nere e cappellini».",/antifa/article/6546/giornalista-rai-aggredita-a-roma-da-no-vax-di-estrema-destra,2021-08-30,2021,8,30,08-30,Q220,Roma
11," 27.08.21  - Salento, aggressione omofoba a barista Lgbtq: tre indagati, uno è un poliziotto. Apologia del fascismo tra le accuse"," 27.08.21  - Salento, aggressione omofoba a barista Lgbtq: tre indagati, uno è un poliziotto. Apologia del fascismo tra le accuse
In meno di 24 ore sono stati identificati gli autori dell’aggressione nel locale Barattolo a sud di Leverano: il titolare aveva immediatamente denunciato anche via social la matrice omofobica e fascista dell’episodio",/antifa/article/6542/salento-aggressione-omofoba-a-barista-lgbtq-tre-indagati-uno--un-poliziotto-apologia-del-fascismo-tra-le-accuse,2021-08-27,2021,8,27,08-27,Q81479,Salento
12," 29.01.21  - Aggressione contro troupe Rai, arrestati 3 ultras, tra loro Claudio Corbolotti gia' portavoce di Forza Nuova. Altri due ai domiciliari"," 29.01.21  - Aggressione contro troupe Rai, arrestati 3 ultras, tra loro Claudio Corbolotti gia' portavoce di Forza Nuova. Altri due ai domiciliari
I due operatori televisivi stavano realizzando a Roma un servizio sulla pandemia per conto della trasmissione Storie italiane. In particolare, stavano riprendendo un gruppo senza mascherine che, infastidito dalla presenza della telecamera, li ha aggredito con calci e pugni.",/antifa/article/6422/aggressione-contro-troupe-rai-arrestati-3-ultras-tra-loro-claudio-corbolotti-gia-portavoce-di-forza-nuova-altri-due-ai-domiciliari,2021-01-29,2021,1,29,01-29,-,Roma
13,8.12.20  - «Un raid squadrista». La Digos indaga su quanto avvenuto a Veronetta," 8.12.20  - «Un raid squadrista». La Digos indaga su quanto avvenuto a Veronetta
Un vero e proprio “raid” squadrista, collegato ad una «vera e propria escalation di violenza neofascista»  nel quartiere da alcuni mesi dopo l’apertura delle sedi di Casapound e Forza Nuova. – Agguato e rissa: responsabile Blocco Studentesco, cesenate, in manette",/antifa/article/6396/171un-raid-squadrista187-la-digos-indaga-su-quanto-avvenuto-a-veronetta,2020-12-08,2020,12,8,12-08,-,Veronetta
14," 29.10.20  - Verona, bombe carta e sedie contro la polizia. L’estrema destra scende in piazza."," 29.10.20  - Verona, bombe carta e sedie contro la polizia. L’estrema destra scende in piazza.
I manifestanti hanno iniziato a lanciare tavoli e sedie dei bar della piazza, assieme a petardi e bombe carta, cui la polizia ha risposto con lacrimogeni e cariche.",/antifa/article/6365/verona-bombe-carta-e-sedie-contro-la-polizia-lestrema-destra-scende-in-piazza,2020-10-29,2020,10,29,10-29,-,Verona
15,28.10.20  - Ancora Forza Nuova in azione a Roma: bombe carta e cassonetti a fuoco. Polizia usa idranti," 28.10.20  - Ancora Forza Nuova in azione a Roma: bombe carta e cassonetti a fuoco. Polizia usa idranti 
circa 200 persone, fra militanti del partito di estrema destra e ultras, per una manifestazione non autorizzata, armati di petardi e bombe carta. La manifestazione era stata preceduta da un mini-corteo dei giovani della Lega, che poi si sono uniti al sit-in dei forzanovisti",/antifa/article/6364/ancora-forza-nuova-in-azione-a-roma-bombe-carta-e-cassonetti-a-fuoco-polizia-usa-idranti-,2020-10-28,2020,10,28,10-28,-,Roma
16," 17.08.20  - Argentario, aggressione a sfondo razziale alla Giannella: ""Sei negro, vai via da qui"""," 17.08.20  - Argentario, aggressione a sfondo razziale alla Giannella: ""Sei negro, vai via da qui""
Un ragazzo di 18, di origine senegalese, è stato offeso e preso per il collo da un quarantenne romano pieno di tatuaggi inneggianti al Ventennio. L’uomo è stato denunciato",/antifa/article/6329/argentario-aggressione-a-sfondo-razziale-alla-giannella-sei-negro-vai-via-da-qui,2020-08-17,2020,8,17,08-17,-,Argentario
17," 8.06.20  - Bologna, colpisce la moglie con un pugno e grida: ""Sei una comunista, viva il duce"""," 8.06.20  - Bologna, colpisce la moglie con un pugno e grida: ""Sei una comunista, viva il duce""
mentre la donna è stata medicata al pronto soccorso. Su disposizione della Procura il trentanovenne è stato tradotto in carcere.",/antifa/article/6305/bologna-colpisce-la-moglie-con-un-pugno-e-grida-sei-una-comunista-viva-il-duce,2020-06-08,2020,6,8,06-08,-,Bologna
18," 8.06.20  - Pestaggio per una battuta politica, denunciato leader Casapound di La Spezia"," 8.06.20  - Pestaggio per una battuta politica, denunciato leader Casapound di La Spezia
Gli uomini della Digos di La Spezia hanno denunciato il referente spezzino di Casapound per l’aggressione a due giovani avvenuta sabato scorso tra le vie della movida. Si tratta di Francesco Carlodalatri, 26 ann
",/antifa/article/6303/pestaggio-per-una-battuta-politica-denunciato-leader-casapound-di-la-spezia,2020-06-08,2020,6,8,06-08,-,La Spezia
19,5.06.20  - a Ostia due giovani aggrediti dopo il corteo antifascista," 5.06.20  - a Ostia due giovani aggrediti dopo il corteo antifascista
C’erano 20 ragazzi vestiti di nero con t- shirt con simboli e slogan dell’estrema destra. Hanno preso di mira tre ragazzi. Ne hanno buttato uno a terra e lo hanno preso a calci ”.
CasaPound, Raggi ci riprova: lettera al governo: “Sgomberateli”",/antifa/article/6301/a-ostia-due-giovani-aggrediti-dopo-il-corteo-antifascista,2020-06-05,2020,6,5,06-05,-,Ostia
20," 9.01.20  - Lecce Gli staccano un orecchio, poi tentano di ucciderlo: «Sei frocio». In cinque sotto inchiesta: due militano in CasaPound"," 9.01.20  - Lecce Gli staccano un orecchio, poi tentano di ucciderlo: «Sei frocio». In cinque sotto inchiesta: due militano in CasaPound
La notte del 10 agosto dell’anno scorso, a Santa Cesarea Terme. Tutti figli di professionisti, tutti giovanissimi, tutti studenti o ex studenti della Cattolica di Milano. Due sono militanti di CasaPound.",/antifa/article/6234/lecce-gli-staccano-un-orecchio-poi-tentano-di-ucciderlo-sei-frocio-in-cinque-sotto-inchiesta-due-militano-in-casapound,2020-01-09,2020,1,9,01-09,-,Lecce
21," 9.01.20  - Acca Larentia, due giornaliste aggredite da vicepresidente di Casapound."," 9.01.20  - Acca Larentia, due giornaliste aggredite da vicepresidente di Casapound.
Due giornaliste aggredite ieri dal vicepresidente di Casapound, Andrea Antonini, alla commemorazione della strage di Acca Larenzia. Avvicinate dice loro “non le potete fare ‘ste riprese, adesso te la spacco la telecamera“, e poco dopo dà un calcio alla videocamera.",/antifa/article/6233/acca-larentia-due-giornaliste-aggredite-da-vicepresidente-di-casapound,2020-01-09,2020,1,9,01-09,Q528163,Acca Larentia
22,1.01.20  - Arturo Scotto aggredito a Venezia: “Erano in otto a viso coperto e gridavano duce-duce”," 1.01.20  - Arturo Scotto aggredito a Venezia: “Erano in otto a viso coperto e gridavano duce-duce”
Arturo Scotto, dirigente nazionale di Articolo Uno- Mdp, è stato aggredito nella notte a Piazza San Marco a Venezia da un gruppo di ragazzi a volto coperto che inneggiavano al duce e facevano cori antisemiti.",/antifa/article/6229/arturo-scotto-aggredito-a-veneziaerano-in-otto-a-viso-coperto-e-gridavano-duce-duce8221,2020-01-01,2020,1,1,01-01,-,Venezia
23,18.12.19  - Torino Aggressione fuori dal Gabrio: “Sono stati i fascisti”," 18.12.19  - Torino Aggressione fuori dal Gabrio: “Sono stati i fascisti”
Secondo i racconti erano circa le 4 del mattino quando il 42enne è stato raggiunto da tre uomini incappucciati che lo hanno colpito al volto, senza un apparente motivo e lasciandolo a terra.",/antifa/article/6230/torino-aggressione-fuori-dal-gabrio-sono-stati-i-fascisti,2019-12-18,2019,12,18,12-18,-,Torino
24,21.11.19  - “Fascisti di merda”: uomo rincorso e aggredito dal “branco” di CasaPound a Milano," 21.11.19  - “Fascisti di merda”: uomo rincorso e aggredito dal “branco” di CasaPound a Milano
La vittima, che era a bordo di una Honda Hcr, è stata rincorsa e raggiunta. Gli aggressori, con ogni probabilità appartenenti a CasaPound, hanno sfondato i vetri dell’auto con un casco e lo hanno poi colpito al volto con una scopa. ",/antifa/article/6210/fascisti-di-merda-uomo-rincorso-e-aggredito-dal-branco-di-casapound-a-milano,2019-11-21,2019,11,21,11-21,-,Milano
25," 9.11.19  - Verona, bomba carta sotto l’auto di Cibo, lo street artist che copre le svastiche con murales colorati"," 9.11.19  - Verona, bomba carta sotto l’auto di Cibo, lo street artist che copre le svastiche con murales colorati
 Una nuova ritorsione contro il writer scaligero che contrasta l’odio e la discriminazione sui muri di Verona, cancellando svastiche e croci celtiche",/antifa/article/6204/verona-bomba-carta-sotto-l8217auto-di-cibo-lo-street-artist-che-copre-le-svastiche-con-murales-colorati,2019-11-09,2019,11,9,11-09,-,Verona
27," 28.09.19  - Palermo Corteo per il clima, tensione al Politeama: gruppo fascista carica manifestanti"," 28.09.19  - Palermo Corteo per il clima, tensione al Politeama: gruppo fascista carica manifestanti
Una trentina di ragazzi vestiti di nero ha interrotto la manifestazione e creato il caos. In mano avevano le bandiere tricolore e quelle del gruppo di destra Lotta studentesca. A placare gli animi gli agenti di polizia in tenuta antisommossa",/antifa/article/6181/palermo-corteo-per-il-clima-tensione-al-politeama-gruppo-fascista-carica-manifestanti,2019-09-28,2019,9,28,09-28,Q3907407,Politeama
28,29.08.19  - Festeggia 18 anni ferendo un carabiniere a sassate: arrestato militante di Forza Nuova," 29.08.19  - Festeggia 18 anni ferendo un carabiniere a sassate: arrestato militante di Forza Nuova
Fabio Corradetti, 18 anni, figlio della compagna di Giuliano Castellino, leader romano di Forza Nuova, è stato arrestato e ha patteggiato un anno di carcere con pena sospesa",/antifa/article/6169/festeggia-18-anni-ferendo-un-carabiniere-a-sassate-arrestato-militante-di-forza-nuova,2019-08-29,2019,8,29,08-29,-,Valle Aurelia
29," 29.07.19  - Cinema America, un altro ragazzo pestato a Frosinone: “Aggressori di estrema destra”"," 29.07.19  - Cinema America, un altro ragazzo pestato a Frosinone: “Aggressori di estrema destra”
Francesco, 33 anni, ricercatore universitario in bio-fisica, è stato prima minacciato nei bagni poi inseguito e picchiato mentre si trovava a un concerto di beneficenza a Frosinone.",/antifa/article/6153/cinema-america-un-altro-ragazzo-pestato-a-frosinone-aggressori-di-estrema-destra,2019-07-29,2019,7,29,07-29,-,Frosinone
30," 9.07.19  - Roma, gambiano picchiato e insultato con frasi razziste a San Lorenzo:  arrestati due estremisti di  destra”"," 9.07.19  - Roma, gambiano picchiato e insultato con frasi razziste a San Lorenzo:  arrestati due estremisti di  destra”
 i due gli si sono scagliati contro il gambiano, colpendolo ripetutamente con calci, pugni e oggetti contundenti, apostrofandolo con frasi discriminatorie",/antifa/article/6141/roma-gambiano-picchiato-e-insultato-con-frasi-razziste-a-san-lorenzo--arrestati-due-estremisti-di--destra,2019-07-09,2019,7,9,07-09,-,Roma
31," 19.06.19  - Roma, aggredita anche l'ex compagna del leader del Cinema America: ""Di' a Carocci di stare calmo"""," 19.06.19  - Roma, aggredita anche l'ex compagna del leader del Cinema America: ""Di' a Carocci di stare calmo""
Vittima l’ex fidanzata dell’animatore dell’associazione che porta il cinema in piazza. Ferita sulla fronte, medicata in ospedale. La polizia “blinda” le arene. Raggi: “Vigliacchi”. Di Maio: “Assurdo, netta condanna”. I ragazzi di ‘Scomodo’: “Al vostro fianco sotto gli schermi” ",/antifa/article/6122/roma-aggredita-anche-lex-compagna-del-leader-del-cinema-america-di-a-carocci-di-stare-calmo,2019-06-19,2019,6,19,06-19,-,Roma
32," 17.06.19  - Roma, aggressione a quattro ragazzi con la maglietta del Cinema America: “Levatevela subito, siete antifascisti”"," 17.06.19  - Roma, aggressione a quattro ragazzi con la maglietta del Cinema America: “Levatevela subito, siete antifascisti”
“In pochi minuti da 2 sono diventati 4 e dopo una decina, non siamo riusciti a scappare né a difenderci”, ha raccontato David Habib, che ha una tumefazione e trauma con fattura scomposta alla piramide nasale.",/antifa/article/6117/roma-aggressione-a-quattro-ragazzi-con-la-maglietta-del-cinema-americalevatevela-subito-siete-antifascisti8221,2019-06-17,2019,6,17,06-17,-,Roma
33," 15.06.19  - Cremona Aggressione al comizio di Salvini, indagini sull'estrema destra"," 15.06.19  - Cremona Aggressione al comizio di Salvini, indagini sull'estrema destra
Gli specialisti della Digos hanno acquisito un filmato da un testimone e avrebbero identificato i presunti autori",/antifa/article/6115/cremona-aggressione-al-comizio-di-salvini-indagini-sullestrema-destra,2019-06-15,2019,6,15,06-15,-,Cremona
35," 29.04.19  - Violenza sessuale di gruppo a Viterbo, la polizia arresta consigliere di CasaPound"," 29.04.19  - Violenza sessuale di gruppo a Viterbo, la polizia arresta consigliere di CasaPound
 È un consigliere comunale di Casapound, ma lavora nel Comune di Vallerano, uno dei due arrestati per violenza sessuale a Viterbo. Il complice, sarebbe un militante del partito neo fascista. ",/antifa/article/6078/violenza-sessuale-di-gruppo-a-viterbo-la-polizia-arresta-consigliere-di-casapound,2019-04-29,2019,4,29,04-29,Q13395,Viterbo
36," 26.04.19  - 25 aprile, incendio in una libreria bistrot a Roma dichiaratamente antifascista"," 26.04.19  - 25 aprile, incendio in una libreria bistrot a Roma dichiaratamente antifascista
«Siamo sconvolti». Queste le parole che i gestori de La Pecora elettrica, una libreria caffetteria simbolo del quartiere Centocelle, nella Capitale, hanno affidato alla pagina Facebook dopo il rogo della notte scorsa nel loro locale dichiaratamente antifascista. ",/antifa/article/6073/25-aprile-incendio-in-una-libreria-bistrot-a-roma-dichiaratamente-antifascista,2019-04-26,2019,4,26,04-26,-,Roma
37," 21.02.19  - Centocelle, gli studenti del Benedetto Da Norcia denunciano: “Aggrediti da CasaPound”"," 21.02.19  - Centocelle, gli studenti del Benedetto Da Norcia denunciano: “Aggrediti da CasaPound”
I giovani sarebbero scattati quando il ragazzo ha piegato il loro volantino per metterselo in tasca: credevano volesse strapparlo. Picchiata anche la giovane che era con lui.",/antifa/article/6056/centocelle-gli-studenti-del-benedetto-da-norcia-denunciano-aggrediti-da-casapound,2019-02-21,2019,2,21,02-21,-,Roma
38,19.01.19  - Viterbo «Circondati e picchiati da neofascisti a fine concerto»: la denuncia della band romana Inna Cantina Sound," 19.01.19  - Viterbo «Circondati e picchiati da neofascisti a fine concerto»: la denuncia della band romana Inna Cantina Sound
Alla fine del concerto, mentre stavano caricando i loro strumenti: uno di loro è finito al pronto soccorso. Tutto a causa dei testi delle loro canzoni.",/antifa/article/6038/viterbocircondati-e-picchiati-da-neofascisti-a-fine-concerto187-la-denuncia-della-band-romana-inna-cantina-sound,2019-01-19,2019,1,19,01-19,-,Viterbo
39,7.01.19  - Vergognosa aggressione fascista a Roma contro i giornalisti de L'Espresso," 7.01.19  - Vergognosa aggressione fascista a Roma contro i giornalisti de L'Espresso
Avanguardia Nazionale e il capo di Forza Nuova Roma colpiscono con calci e schiaffi il nostro cronista Federico Marconi e il fotografo Paolo Marchetti al Verano durante la commemorazione per Acca Larentia. La redazione unita aspetta ora la condanna del Viminale",/antifa/article/6023/vergognosa-aggressione-fascista-a-roma-contro-i-giornalisti-de-lespresso,2019-01-07,2019,1,7,01-07,-,Roma
40," 16.12.18  - Salerno, ragazze aggredite da esponenti Forza Nuova davanti al liceo"," 16.12.18  - Salerno, ragazze aggredite da esponenti Forza Nuova davanti al liceo
Momenti di tensioni fuori al liceo Alfano I, dove due ragazze sono state aggredite da esponenti di Forza Nuova che distribuivano fogli a sfondo fascista",/antifa/article/6004/salerno-ragazze-aggredite-da-esponenti-forza-nuova-davanti-al-liceo,2018-12-16,2018,12,16,12-16,-,Salerno
41," 9.12.18  - Roma, blitz di Forza nuova a sede Anpi"," 9.12.18  - Roma, blitz di Forza nuova a sede Anpi
“Inaccettabile il blitz di Forza Nuova contro la sede nazionale dell’Anpi. Roma è e resterà sempre antifascista”, scrive la sindaca, Virginia Raggi su Twitter.  – Comunicato ANPI",/antifa/article/5995/roma-blitz-di-forza-nuova-a-sede-anpi,2018-12-09,2018,12,9,12-09,-,Roma
42," 30.11.18  - ""Sono nazifascista e me ne vanto"": Piacenza, arrestato per aggressione 22enne"," 30.11.18  - ""Sono nazifascista e me ne vanto"": Piacenza, arrestato per aggressione 22enne
 a ottobre avrebbe aggredito un ragazzo marocchino fuori da un locale pubblico, pronunciando insulti razzisti e proclamandosi un nazifascista convinto",/antifa/article/5992/sono-nazifascista-e-me-ne-vanto-piacenza-arrestato-per-aggressione-22enne,2018-11-30,2018,11,30,11-30,-,Piacenza
43," 26.10.18  - Bologna, aggredito un attivista del comitato pro-Prati di Caprara: ""Erano ultras fascisti"""," 26.10.18  - Bologna, aggredito un attivista del comitato pro-Prati di Caprara: ""Erano ultras fascisti""
Dalla lite via facebook alle botte a Mascagni: “Erano in sei, ominicchi che si fanno fotografare con il braccio teso e scrivono frasettine come ‘boia chi molla’ e altre amenità tratte dal peggio del ventennio”” ",/antifa/article/5961/bologna-aggredito-un-attivista-del-comitato-pro-prati-di-caprara-erano-ultras-fascisti,2018-10-26,2018,10,26,10-26,Q1891,Bologna
44,29.09.18  - Brescia Aggressione nazista respinta in quartiere Carmine," 29.09.18  - Brescia Aggressione nazista respinta in quartiere Carmine
Dieci naziskin, di età varia dai 20 ai 40 anni, si sono presentati compatti stanotte verso l’una in Contrada del  Carmine, davanti ad un locale frequentato anche da giovani di sinistra, minacciando alcuni presenti.",/antifa/article/5925/brescia-aggressione-nazista-respinta-in-quartiere-carmine,2018-09-29,2018,9,29,09-29,-,Brescia
45," 26.09.18  - Ceprano, bastonate e pietre contro gli stranieri, fermati tre studenti universitari"," 26.09.18  - Ceprano, bastonate e pietre contro gli stranieri, fermati tre studenti universitari
Gli uomini della Digos e la Squadra Mobile della Questura di Frosinone, hanno individuato i presunti autori di numerosi e gravissimi episodi a sfondo razziale. Ritrovati opuscoli del cosiddetto “Blocco studentesco”",/antifa/article/5924/ceprano-bastonate-e-pietre-contro-gli-stranieri-fermati-tre-studenti-universitari,2018-09-26,2018,9,26,09-26,-,Ceprano
46," 22.09.18  - Aggressione al corteo antirazzista di Bari, due feriti, 30 attivisti di Casapound in Questura"," 22.09.18  - Aggressione al corteo antirazzista di Bari, due feriti, 30 attivisti di Casapound in Questura
 Coinvolta un’eurodeputata Aggressione al corteo antirazzista di Bari, due feriti, 30 attivisti di Casapound in Questura Due persone sono rimaste ferite ieri sera al termine del corteoantirazzista “Mai con Salvini”.",/antifa/article/5920/aggressione-al-corteo-antirazzista-di-bari-due-feriti-30-attivisti-di-casapound-in-questura,2018-09-22,2018,9,22,09-22,-,Bari
47,14.09.18  - Blitz omofobo a Verona: coppia aggredita con la benzina," 14.09.18  - Blitz omofobo a Verona: coppia aggredita con la benzina
Di notte un uomo si è introdotto nella palazzina, imbrattando anche le mura di svastiche e insulti. Ad agosto la coppia era stata offesa e schiaffeggiata in piazza Bra",/antifa/article/5915/blitz-omofobo-a-verona-coppia-aggredita-con-la-benzina,2018-09-14,2018,9,14,09-14,-,Verona
48," 8.09.18  - Ostia: Casapound occupa gli uffici del X Municipio, capogruppo del M5S ferito"," 8.09.18  - Ostia: Casapound occupa gli uffici del X Municipio, capogruppo del M5S ferito
Il capogruppo grillino Di Giovanni ha riportato sei giorni di prognosi. Il leader di Casapound Marsella sospeso per 2 consigli",/antifa/article/5906/ostia-casapound-occupa-gli-uffici-del-x-municipio-capogruppo-del-m5s-ferito,2018-09-08,2018,9,8,09-08,-,Ostia
49," 20.08.18  - Giovane picchiato in un ristorante a Vasto, la denuncia: ""Atto fascista"""," 20.08.18  - Giovane picchiato in un ristorante a Vasto, la denuncia: ""Atto fascista""
La vittima avrebbe chiesto al titolare del locale di non suonare “Facetta nera”, perché si tratta di apologia del fascismo e per risposta sarebbe stato picchiato",/antifa/article/5891/giovane-picchiato-in-un-ristorante-a-vasto-la-denuncia-atto-fascista,2018-08-20,2018,8,20,08-20,Q51313,Vasto
50," 16.08.18  - Cologna Veneta Indossa maglietta ""Nordest Anti Fascist"": in 3 gliela strappano e lo picchiano"," 16.08.18  - Cologna Veneta Indossa maglietta ""Nordest Anti Fascist"": in 3 gliela strappano e lo picchiano
Il gruppo di tre ragazzi gli ha prima intimato di togliersi la maglietta, poi l’ha picchiato, scaraventandolo a terra, e gli ha infine strappato la t-shirt.",/antifa/article/5886/cologna-veneta-indossa-maglietta-nordest-anti-fascist-in-3-gliela-strappano-e-lo-picchiano,2018-08-16,2018,8,16,08-16,-,Cologna Veneta
51," 2.08.18  - Milano ""Sporco comunista"", giornalista accoltellato sulla porta di casa"," 2.08.18  - Milano ""Sporco comunista"", giornalista accoltellato sulla porta di casa
Un fendente diretto al volto, parato con un braccio e sferrato sulla porta di casa. Questo quanto sarebbe accaduto ieri sera a Enrico Nascimbeni, cantautore, scrittore, giornalista e direttore di Border OnLine del Gruppo Saman, vittima di un agguato da parte di due uomini ",/antifa/article/5876/milano-sporco-comunista-giornalista-accoltellato-sulla-porta-di-casa,2018-08-02,2018,8,2,08-02,-,Milano
52," 2.07.18  - Roma, svastiche e croci celtiche nel circolo Togliatti del Pd: blitz di Forza Nuova"," 2.07.18  - Roma, svastiche e croci celtiche nel circolo Togliatti del Pd: blitz di Forza Nuova
Nella notte, all’interno degli uffici c’era un gruppo di «giovani democratici» che hanno denunciato l’aggressione. Il presidente del partito Matteo Orfini: «Il ministro Salvini condanni e prenda posizione chiara»",/antifa/article/5842/roma-svastiche-e-croci-celtiche-nel-circolo-togliatti-del-pd-blitz-di-forza-nuova,2018-07-02,2018,7,2,07-02,-,Roma
