,title,desc,link,date,year,month,day,datenoyear,placeQID,placename
613," 24.07.06  - Palermo: picchiano immigrati, arrestati tre estremisti di destra"," 24.07.06  - Palermo: picchiano immigrati, arrestati tre estremisti di destra
- Hanno rapinato e picchiato due venditori ambulanti, originari del Bangladesh. Arrestati a Palermo tre estremisti di destra, esponenti di Forza Nuova. Aggiornamento",/antifa/article/1002/Palermopicchianoimmigratiarrestatitreestremistididestra,2006-07-24,2006,7,24,07-24,-,Palermo
614,15.07.06  - - Aversa(CE): attacco fascista alla Tanalab," 15.07.06  - - Aversa(CE): attacco fascista alla Tanalab
Nella notte tra venerdì 14 e sabato 15 luglio mani ignote armate di vernice spray e arroganza hanno disegnato sulla porta blindata della Tanalab, in via Magenta 10, due croci celtiche, strappato le bacheche con i manifesti che richiamavano la mobilitazione per la liberazione dei venticinque antifascisti milanesi detenuti nelle carceri di stato da oltre tre mesi",/antifa/article/1020/AversaCEattaccofascistaallaTanalab,2006-07-15,2006,7,15,07-15,-,Aversa
615,12.07.06  - Cremona: aggressione squadrista all’abitazione di una compagna," 12.07.06  - Cremona: aggressione squadrista all’abitazione di una compagna
La sera del 9 luglio 2006, approfittando del caos del dopo-partita, dopo aver assediato la casa dalla compagna, sfondano la porta e irrompono all’interno insultando e minacciando le persone presenti…",/antifa/article/994/Cremonaaggressionesquadristaallabitazionediunacompagna,2006-07-12,2006,7,12,07-12,-,Cremona
616,12.07.06  - Roma Svastiche al ghetto," 12.07.06  - Roma Svastiche al ghetto
Una serie di svastiche sono apparse al ghetto di Roma, probabilmente scritte nella notte dei festeggiamenti per la vittoria della Nazionale italiana.  – E sul palco Buffon sventola uno striscione con la croce celtica. Unita’ e Aprile",/antifa/article/992/RomaSvastichealghetto,2006-07-12,2006,7,12,07-12,-,Roma
617,10.07.06  - Imola(Bo): Attacco al Peace Maker," 10.07.06  - Imola(Bo): Attacco al Peace Maker
Nella notte tra domenica 9 e lunedì 10 gli (ormai) habitué delle azioni notturne hanno fatto visita al Peace Maker.All’interno si trovava un ragazzo che,verso l’1:15 si è trovato la macchina ribaltata in mezzo alla strada.",/antifa/article/993/ImolaBoAttaccoalPeaceMaker,2006-07-10,2006,7,10,07-10,-,Imola
618,7.07.06  - Roma: ennesima aggressione fascista," 7.07.06  - Roma: ennesima aggressione fascista
Un compagno di diciotto anni è stato aggredito da un tizio vestito in stile “skinhead” che l’ha colpito alla testa con una bottiglia",/antifa/article/986/Romaennesimaaggressionefascista,2006-07-07,2006,7,7,07-07,Q220,Roma
619,3.07.06  - Bologna: aggressione fascista," 3.07.06  - Bologna: aggressione fascista
Nella notte tra 30 giugno e 1 luglio una decina di fascisti corredati di celtiche pestano due ragazzi con bottiglie e cinture in Piazza Maggiore. 
",/antifa/article/982/Bolognaaggressionefascista,2006-07-03,2006,7,3,07-03,-,Bologna
620,1.07.06  - Roma: fascisti attaccano con molotov il SantaMaria della Pietà," 1.07.06  - Roma: fascisti attaccano con molotov il SantaMaria della Pietà
Stanotte, verso l’una, mentre nel Parco del S.Maria della Pietà si stava tenendo un concerto con circa 400 persone presenti, un gruppo di circa 50 individui, in gran parte a volto coperto, urlando slogan fascisti e armati di spranghe, catene, bombe carta e incendiarie, – + Aggiornamento agenzia",/antifa/article/981/RomafascistiattaccanoconmolotovilSantaMariadellaPieta,2006-07-01,2006,7,1,07-01,-,Roma
621," 28.06.06  - Catania: Forza Nuova, spranghe alla mano, interrompe il Pride 2006"," 28.06.06  - Catania: Forza Nuova, spranghe alla mano, interrompe il Pride 2006
Gli squadristi di Forza Nuova, armati di spranghe, con la complicità delle forze dell’ordine hanno interrotto il corteo del Pride e hanno sflilato urlando slogan omofobici. + report
",/antifa/article/979/CataniaForzaNuovasprangheallamanointerrompeilPride2006,2006-06-28,2006,6,28,06-28,-,Catania
622," 19.06.06  - - Torre del lago(Lu): Aggressione al ""Mamma mia"""," 19.06.06  - - Torre del lago(Lu): Aggressione al ""Mamma mia""
Aggressione fascista al locale gay “Mamma mia”  + Aggiornamento: Fermati gli aggressori di Torre del Lago",/antifa/article/970/TorredellagoLuAggressionealMammamia,2006-06-19,2006,6,19,06-19,-,Torre del Lago
623,5.06.06  - - Padova: danneggiamento fascista al C.P.O. Gramigna," 5.06.06  - - Padova: danneggiamento fascista al C.P.O. Gramigna
Nella notte tra venerdì 2 e sabato 3 giugno alcuni fascisti sono entrati all’interno del centro popolare occupato Gramigna di Padova danneggiando la cancellata che delimita il centro, rompendo un vetro e tappezzando il cancello con adesivi firmati forza nuova.",/antifa/article/949/PadovadanneggiamentofascistaalCPOGramigna,2006-06-05,2006,6,5,06-05,-,Padova
624,4.06.06  - - Belluno: aggredita minorenne da una skin girl," 4.06.06  - - Belluno: aggredita minorenne da una skin girl
Sabato 3/06 a Belluno, verso le 19.00, una compagna antifascista di 14 anni è stata aggredita violentemente e colpita da calci e pugni da una “skin girl” neonazista di almeno 25 anni.",/antifa/article/948/Bellunoaggreditaminorennedaunaskingirl,2006-06-04,2006,6,4,06-04,-,Belluno
625,3.06.06  - - Padova: incendio al Lab FUOriCOntrollo," 3.06.06  - - Padova: incendio al Lab FUOriCOntrollo
Stanotte hanno dato fuoco alla porta d’entrata e agli striscioni appesi alle finestre del secondo piano del Laboratorio FUOri COntrollo. Fortunatamente non ci sono stati danni ulteriori e il Lab in quel momento era chiuso. ",/antifa/article/946/PadovaincendioalLabFUOriCOntrollo,2006-06-03,2006,6,3,06-03,-,Padova
626,2.06.06  - - Piacenza: aggresioni in piazza Cavalli," 2.06.06  - - Piacenza: aggresioni in piazza Cavalli
Pestati da tre teppisti di destra: due giovani feriti dopo il concerto pacifista, presi gli aggressori",/antifa/article/943/PiacenzaaggresioniinpiazzaCavalli,2006-06-02,2006,6,2,06-02,-,Piacenza
627,2.06.06  - - Milano: aggressione a K.A.S.A," 2.06.06  - - Milano: aggressione a K.A.S.A
Legione studentesca entra nel kollettivo e rompe il dito ad un compagno.",/antifa/article/942/MilanoaggressioneaKASA,2006-06-02,2006,6,2,06-02,Q490,Milano
628,30.05.06  - - Roma: aggrediti 2 punk," 30.05.06  - - Roma: aggrediti 2 punk
Due ragazzi punk minorenni vengono insultati e schiaffeggiati davanti alla sede di forza nuova, nei pressi di via latina in zona furio camillo.",/antifa/article/928/Romaaggrediti2punk,2006-05-30,2006,5,30,05-30,-,Roma
629,29.05.06  - - Rovigo: atti vandalici," 29.05.06  - - Rovigo: atti vandalici
Un monumento in memoria dei martiri della Resistenza nel cimitero di Badia Polesine, in provincia di Rovigo, e’ stato preso a martellate da ignoti.",/antifa/article/937/Rovigoattivandalici,2006-05-29,2006,5,29,05-29,-,Rovigo
630,28.05.06  - - Roma: neofascisti aggrediscono la carovana arcobaleno," 28.05.06  - - Roma: neofascisti aggrediscono la carovana arcobaleno
Una cinquantina di teppisti in moto, probabilmente neofascisti, hanno assaltato con mazze, bastoni e un’ascia un gruppo di sostenitori del candidato disobbediente Nunzio D’Erme che stava attraversando il quartiere Tuscolano per la campagna elettorale. Sono state lanciate anche due bombe carta che fortunatamente non sono esplose.",/antifa/article/919/Romaneofascistiaggredisconolacarovanaarcobaleno,2006-05-28,2006,5,28,05-28,-,Roma
631,28.05.06  - - Roma: nuova aggressione all'i'Pò di Marino," 28.05.06  - - Roma: nuova aggressione all'i'Pò di Marino
Ad un ora imprecisata ignoti hanno provato ad incendiare il portone con della legna e sembra che ci siano anche tracce di una molotov.",/antifa/article/921/RomanuovaaggressionealliPodiMarino,2006-05-28,2006,5,28,05-28,-,Roma
632,27.05.06  - - Napoli: aggrediti durante la contestazione a Berlusconi," 27.05.06  - - Napoli: aggrediti durante la contestazione a Berlusconi
Aggrediti due militanti di Rifondazione per aver fischiato Berlusconi nella visita a Bagnoli.",/antifa/article/923/NapoliaggreditidurantelacontestazioneaBerlusconi,2006-05-27,2006,5,27,05-27,-,Napoli
